aX,aY,aZ
0.496,0.709,0.203
0.506,0.693,0.202
0.518,0.691,0.203
0.529,0.694,0.179
0.553,0.695,0.17
0.56,0.733,0.135
0.572,0.759,0.102
0.581,0.798,0.036
0.618,0.839,0.009
0.64,0.91,0.009
0.674,0.954,0.019
0.684,0.986,0.016
0.673,0.967,0.013
0.655,0.921,0.028
0.638,0.894,0.041
0.636,0.854,0.035
0.681,0.828,0.048
0.69,0.794,0.061
0.703,0.782,0.073
0.706,0.754,0.107
0.713,0.749,0.119
0.715,0.727,0.139
0.71,0.712,0.148
0.712,0.71,0.16
0.714,0.708,0.161
0.717,0.701,0.159
0.724,0.693,0.159
0.726,0.676,0.158
0.731,0.669,0.166
0.728,0.674,0.156
0.712,0.651,0.144
0.683,0.628,0.111
0.653,0.627,0.087
0.648,0.606,0.053
0.611,0.593,0.037
0.582,0.556,0.021
0.499,0.539,0.021
0.484,0.538,0.012
0.472,0.529,-0.01
0.459,0.522,-0.046
0.458,0.541,-0.06
0.468,0.559,-0.089
0.472,0.561,-0.104
0.466,0.563,-0.118
0.478,0.574,-0.243
0.481,0.571,-0.141
0.477,0.565,-0.149
0.47,0.545,-0.149
0.48,0.532,-0.143
0.491,0.501,-0.149
0.483,0.488,-0.164
0.47,0.463,-0.171
0.467,0.45,-0.183
0.471,0.442,-0.192
0.474,0.421,-0.198
0.491,0.409,-0.203
0.506,0.4,-0.199
0.533,0.397,-0.18
0.529,0.448,-0.186
0.523,0.464,-0.202
0.52,0.476,-0.214
0.537,0.475,-0.208
0.552,0.46,-0.204
0.584,0.454,-0.212
0.594,0.44,-0.234
0.617,0.439,-0.252
0.632,0.438,-0.256
0.65,0.439,-0.254
0.713,0.427,-0.245
0.75,0.43,-0.233
0.815,0.408,-0.219
0.838,0.398,-0.203
0.874,0.368,-0.198
0.881,0.339,-0.203
0.887,0.331,-0.208
0.888,0.31,-0.212
0.882,0.3,-0.215
0.88,0.282,-0.223
0.874,0.28,-0.23
0.877,0.27,-0.233
0.889,0.261,-0.233
0.888,0.24,-0.239
0.896,0.237,-0.222
0.909,0.223,-0.219
0.913,0.209,-0.216
0.923,0.195,-0.218
0.451,0.438,1.267
0.357,0.358,1.233
0.176,0.308,1.24
0.157,0.332,1.252
0.159,0.41,1.254
0.201,0.423,1.239
0.184,0.382,1.235
0.121,0.39,1.237
0.104,0.403,1.247
0.189,0.464,1.281
0.312,0.489,1.267
0.141,0.422,1.214
0.04,0.376,1.173
-0.038,0.42,1.176
0.116,0.53,1.238
0.153,0.526,1.237
0.15,0.484,1.218
0.151,0.481,1.222
0.161,0.463,1.242
0.182,0.454,1.124
0.197,0.437,1.247
0.206,0.423,1.249
0.216,0.394,1.248
0.225,0.384,1.372
0.232,0.364,1.25
0.247,0.356,1.246
0.253,0.345,1.225
0.268,0.338,1.218
0.273,0.327,1.186
0.269,0.328,1.167
0.27,0.334,1.139
0.265,0.336,1.119
0.257,0.336,1.074
0.246,0.338,1.055
0.238,0.342,1.006
0.23,0.351,0.977
0.235,0.384,0.922
0.267,0.405,0.899
0.288,0.441,0.869
0.333,0.465,0.86
0.349,0.52,0.851
0.385,0.548,0.85
0.408,0.577,0.858
0.46,0.585,0.865
0.488,0.6,0.895
0.538,0.603,0.914
0.557,0.596,0.961
0.61,0.545,1.051
0.627,0.522,1.072
0.627,0.475,1.11
0.623,0.453,1.123
0.615,0.418,1.137
0.592,0.401,1.139
0.579,0.368,1.131
0.541,0.349,1.129
0.516,0.323,1.139
0.45,0.326,1.147
0.416,0.349,1.175
0.373,0.35,1.188
0.358,0.305,1.177
0.316,0.263,1.153
0.301,0.19,1.075
0.298,0.165,1.016
0.303,0.138,0.897
0.303,0.15,0.841
0.294,0.212,0.779
0.261,0.244,0.773
0.241,0.292,0.793
0.211,0.308,0.811
0.207,0.331,0.854
0.286,0.346,0.885
0.32,0.309,0.904
0.254,0.261,0.894
0.208,0.231,0.89
0.22,0.257,0.897
0.25,0.276,0.895
0.259,0.258,0.893
0.249,0.244,0.914
0.233,0.226,0.927
0.231,0.206,0.943
0.222,0.191,0.945
0.218,0.176,0.952
0.22,0.153,0.96
0.227,0.145,0.981
0.248,0.128,0.993
0.261,0.122,1.013
0.285,0.112,1.017
0.295,0.109,1.019
0.315,0.114,1.023
0.323,0.118,1.026
0.333,0.135,1.032
0.351,0.16,1.071
0.457,0.175,1.072
0.442,0.138,1.018
0.369,0.083,1.004
0.331,0.074,0.976
0.359,0.13,0.98
0.39,0.162,1.007
0.403,0.173,1.019
0.397,0.164,1.041
0.404,0.146,1.048
0.422,0.134,1.055
0.459,0.093,1.053
0.471,0.072,1.052
0.475,0.04,1.057
0.471,0.036,1.063
0.458,0.034,1.066
0.447,0.036,1.072
0.434,0.041,1.08
0.428,0.053,1.102
0.411,0.078,1.12
0.398,0.096,1.159
0.373,0.122,1.175
0.363,0.135,1.211
0.351,0.14,1.23
0.343,0.135,1.258
0.329,0.119,1.273
0.327,0.11,1.298
0.323,0.097,1.308
0.574,0.264,1.408
0.556,0.37,1.734
0.725,0.511,1.933
0.821,0.407,2.245
0.787,-0.13,2.27
0.685,-0.399,1.995
0.694,-0.525,1.748
0.693,-0.59,1.425
0.666,-0.799,1.35
0.631,-0.87,1.117
0.453,-0.68,1.017
0.386,-0.41,0.923
0.288,-0.27,0.908
0.245,-0.032,0.884
0.203,0.037,0.752
0.202,0.129,0.834
0.224,0.133,0.773
0.242,0.161,0.754
0.241,0.173,0.868
0.369,0.182,0.771
0.256,0.195,0.778
0.261,0.181,0.782
0.28,0.182,0.828
0.304,0.2,0.875
0.369,0.192,0.926
0.403,0.111,0.991
0.423,0.075,1.01
0.41,-0.028,1.053
0.421,-0.068,1.061
0.363,-0.116,1.075
0.347,-0.168,1.055
0.368,-0.266,1.028
0.353,-0.243,0.974
0.307,-0.24,0.976
0.317,-0.257,0.979
0.326,-0.27,0.965
0.323,-0.231,0.987
0.302,-0.204,1.007
0.296,-0.148,1.037
0.3,-0.117,1.06
0.344,-0.141,1.072
0.373,-0.162,1.096
0.365,-0.154,1.096
0.366,-0.176,1.086
0.424,-0.251,1.073
0.376,-0.204,1.087
0.293,-0.198,1.093
0.275,-0.132,1.045
0.27,-0.121,1.016
0.248,-0.122,0.998
0.27,-0.145,1.013
0.233,-0.097,1.062
0.232,-0.101,1.097
0.253,-0.087,1.085
0.277,-0.089,1.049
0.286,-0.142,1.039
0.268,-0.16,1.052
0.242,-0.128,1.052
0.243,-0.102,1.031
0.256,-0.154,1.032
0.225,-0.117,1.025
0.218,-0.096,1.034
0.209,-0.065,1
0.184,-0.051,0.988
0.168,-0.023,0.963
0.142,-0.02,0.958
0.131,-0.029,0.964
0.095,-0.058,0.971
0.074,-0.127,1.023
0.076,-0.137,1.093
0.097,-0.162,1.117
0.118,-0.179,1.166
0.149,-0.21,1.185
0.166,-0.218,1.217
0.192,-0.186,1.23
0.207,-0.162,1.237
0.199,-0.161,1.248
0.189,-0.167,1.262
0.167,-0.169,1.277
0.18,-0.142,1.294
0.19,-0.144,1.279
0.186,-0.13,1.246
0.191,-0.117,1.24
0.212,-0.085,1.243
0.227,-0.062,1.254
0.255,-0.02,1.243
0.284,-0.018,1.227
0.311,-0.026,1.192
0.331,-0.014,1.183
0.324,0.124,1.146
0.301,0.027,1.127
0.297,0.043,1.074
0.291,0.075,1.048
0.29,0.089,1.018
0.283,0.123,1.007
0.277,0.14,0.993
0.252,0.17,0.987
0.244,0.178,0.98
0.229,0.179,0.981
0.231,0.182,0.991
0.23,0.188,0.989
0.226,0.2,0.98
0.242,0.238,0.987
0.247,0.258,1.015
0.27,0.297,1.033
0.285,0.324,1.068
0.314,0.374,1.085
0.327,0.384,1.101
0.358,0.401,1.109
0.368,0.405,1.103
0.369,0.413,1.092
0.363,0.419,1.057
0.346,0.419,1.036
0.333,0.432,0.977
0.315,0.444,0.945
0.309,0.453,0.878
0.292,0.455,0.853
0.295,0.479,0.823
0.289,0.504,0.805
0.4,-0.388,2
0.929,0.078,2.271
1.102,1.113,1.646
0.812,0.632,1.499
0.622,-0.032,1.92
0.613,0.476,1.847
0.574,0.869,0.828
0.268,0.804,0.443
0.144,0.968,0.1
0.066,1.156,-0.048
0.032,1.219,-0.273
-0.053,1.111,-0.268
-0.086,0.969,-0.15
-0.053,0.919,0.016
-0.018,0.672,0.114
0.012,0.538,0.387
0.141,0.372,0.533
0.22,0.343,0.775
0.385,0.331,0.852
0.44,0.328,0.966
0.521,0.389,1.01
0.554,0.416,1.085
0.612,0.437,1.129
0.648,0.42,1.259
0.678,0.396,1.33
0.662,0.361,1.479
0.643,0.232,1.537
0.634,0.175,1.593
0.618,0.058,1.603
0.613,0.017,1.598
0.575,-0.019,1.571
0.552,-0.019,1.48
0.522,0.008,1.423
0.51,0.047,1.296
0.488,0.147,1.233
0.478,0.203,1.12
0.456,0.328,1.074
0.444,0.38,1.002
0.436,0.46,0.99
0.433,0.506,1.004
0.432,0.512,1.019
0.432,0.513,1.052
0.431,0.512,1.07
0.435,0.517,1.105
0.439,0.504,1.247
0.434,0.469,1.121
0.424,0.451,1.122
0.424,0.429,1.118
0.43,0.423,1.112
0.438,0.415,1.116
0.448,0.426,1.119
0.448,0.385,1.126
0.443,0.354,1.124
0.44,0.29,1.108
0.428,0.291,1.1
0.417,0.389,1.097
0.406,0.407,1.097
0.411,0.383,1.061
0.413,0.39,1.031
0.412,0.442,0.99
0.406,0.471,0.979
0.412,0.506,0.962
0.427,0.521,0.947
0.428,0.546,0.911
0.421,0.556,0.893
0.416,0.567,0.865
0.405,0.562,0.858
0.399,0.566,0.853
0.391,0.565,0.854
0.382,0.542,0.849
0.374,0.518,0.836
0.372,0.468,0.833
0.377,0.443,0.828
0.37,0.413,0.811
0.361,0.404,0.773
0.351,0.404,0.756
0.346,0.416,0.721
0.343,0.437,0.702
0.346,0.44,0.668
0.361,0.455,0.648
0.367,0.463,0.622
0.38,0.461,0.612
0.383,0.454,0.603
0.384,0.438,0.602
0.39,0.42,0.606
0.401,0.405,0.611
0.407,0.378,0.63
0.422,0.366,0.64
0.427,0.353,0.666
0.434,0.35,0.678
0.436,0.348,0.699
0.435,0.347,0.707
0.428,0.347,0.714
0.41,0.348,0.718
0.401,0.352,0.718
0.385,0.355,0.713
0.378,0.358,0.701
0.372,0.363,0.694
0.362,0.386,0.675
0.342,0.402,0.663
0.331,0.436,0.635
0.311,0.449,0.623
0.305,0.459,0.612
0.304,0.46,0.619
0.305,0.445,0.649
0.32,0.432,0.673
0.323,0.419,0.73
0.328,0.393,0.76
0.335,0.257,0.817
0.348,0.358,0.847
0.353,0.331,0.904
0.356,0.314,0.931
0.357,0.295,0.976
0.353,0.253,0.991
0.353,0.232,1.018
0.338,0.199,1.026
0.333,0.184,1.038
0.32,0.165,1.046
0.325,0.154,1.066
0.52,0.365,1.417
0.622,0.486,1.532
0.505,0.356,1.579
0.381,0.168,1.645
0.184,-0.136,1.631
0.153,-0.267,1.509
0.224,-0.373,1.426
0.297,-0.318,1.265
0.408,-0.244,1.194
0.428,-0.065,1.149
0.404,0.04,1.17
0.372,0.221,1.223
0.269,0.291,1.24
0.217,0.362,1.241
0.151,0.358,1.226
0.125,0.288,1.189
0.099,0.231,1.186
0.099,0.117,1.21
0.097,0.072,1.229
0.11,0.009,1.28
0.138,-0.005,1.304
0.147,-0.007,1.331
0.173,-0.003,1.34
0.183,0.039,1.357
0.194,0.068,1.366
0.194,0.122,1.369
0.186,0.145,1.362
0.181,0.179,1.345
0.17,0.188,1.336
0.169,0.214,1.308
0.175,0.231,1.296
0.176,0.25,1.265
0.176,0.278,1.249
0.178,0.291,1.204
0.173,0.31,1.162
0.169,0.333,1.106
0.161,0.395,1.089
0.155,0.42,1.053
0.139,0.432,1.032
0.13,0.432,0.994
0.111,0.427,0.98
0.113,0.435,0.967
0.139,0.473,0.959
0.158,0.491,0.961
0.195,0.497,0.973
0.197,0.503,0.97
0.222,0.504,0.97
0.235,0.485,0.949
0.251,0.396,0.935
0.247,0.4,0.91
0.228,0.447,0.897
0.187,0.447,0.751
0.161,0.404,0.777
0.18,0.389,0.871
0.218,0.397,0.899
0.208,0.396,0.832
0.194,0.406,0.786
0.203,0.426,0.737
0.222,0.457,0.732
0.231,0.477,0.748
0.263,0.53,0.761
0.275,0.561,0.758
0.297,0.584,0.753
0.307,0.574,0.746
0.316,0.545,0.741
0.314,0.537,0.749
0.322,0.543,0.732
0.316,0.567,0.669
0.286,0.559,0.651
0.275,0.542,0.635
0.269,0.532,0.622
0.267,0.51,0.615
0.285,0.458,0.615
0.281,0.463,0.559
0.261,0.473,0.525
0.265,0.471,0.489
0.285,0.494,0.465
0.288,0.495,0.436
0.311,0.505,0.43
0.333,0.505,0.421
0.376,0.501,0.419
0.386,0.497,0.411
0.387,0.473,0.401
0.399,0.456,0.385
0.422,0.425,0.361
0.422,0.412,0.354
0.501,0.462,0.325
0.514,0.451,0.253
0.499,0.414,0.238
0.494,0.408,0.22
0.508,0.426,0.211
0.519,0.435,0.175
0.529,0.443,0.154
0.54,0.462,0.123
0.555,0.506,0.109
0.557,0.536,0.088
0.571,0.601,0.058
0.565,0.605,0.033
0.575,0.628,0.035
0.584,0.569,0.021
0.59,0.601,0.015
0.587,0.644,0.01
0.583,0.642,0.005
0.59,0.603,0.014
0.608,0.563,0.016
0.609,0.554,0.009
0.611,0.533,0.003
0.613,0.526,-0.02
0.61,0.486,-0.036
0.62,0.469,-0.046
0.655,0.438,-0.053
0.672,0.419,-0.061
0.709,0.393,-0.062
0.718,0.371,-0.067
0.719,0.356,-0.08
0.719,0.351,-0.116
0.719,0.342,-0.137
0.718,0.338,-0.172
0.707,0.344,-0.186
0.646,0.553,1.196
0.761,0.732,1.651
0.914,0.843,1.883
0.937,0.709,2.044
0.819,0.171,1.959
0.694,-0.149,1.653
0.486,-0.531,1.453
0.428,-0.567,1.05
0.348,-0.421,0.893
0.308,-0.281,0.743
0.249,0.042,0.745
0.226,0.312,0.8
0.214,0.385,0.836
0.224,0.43,0.889
0.255,0.429,0.896
0.275,0.272,0.886
0.313,0.3,0.875
0.329,0.132,0.845
0.343,0.21,0.83
0.341,0.204,0.811
0.338,0.209,0.811
0.339,0.24,0.796
0.345,0.249,0.797
0.35,0.244,0.84
0.371,0.229,0.873
0.377,0.183,0.931
0.379,0.15,0.959
0.386,0.076,1.022
0.414,0.045,1.042
0.417,0.021,1.058
0.429,0.026,1.063
0.436,0.053,1.077
0.435,0.078,1.073
0.427,0.128,1.049
0.413,0.157,1.039
0.406,0.205,1.012
0.389,0.221,0.998
0.376,0.231,0.967
0.356,0.228,0.953
0.352,0.221,0.93
0.346,0.217,0.923
0.346,0.211,0.921
0.35,0.212,0.924
0.351,0.215,0.934
0.355,0.215,0.939
0.352,0.21,0.956
0.345,0.206,0.961
0.343,0.199,0.965
0.336,0.195,0.966
0.335,0.193,0.97
0.331,0.197,0.969
0.326,0.213,0.959
0.318,0.22,0.957
0.317,0.228,0.948
0.314,0.243,0.942
0.319,0.246,0.947
0.328,0.244,0.948
0.344,0.23,0.952
0.349,0.226,0.964
0.35,0.216,0.966
0.345,0.213,0.98
0.35,0.2,0.996
0.353,0.194,1
0.332,0.178,0.986
0.323,0.171,0.98
0.311,0.166,0.972
0.302,0.163,0.949
0.299,0.163,0.953
0.303,0.174,0.955
0.297,0.193,0.941
0.282,0.202,0.935
0.282,0.217,0.936
0.277,0.222,0.934
0.274,0.217,0.927
0.273,0.212,0.931
0.27,0.206,0.929
0.27,0.2,0.93
0.273,0.19,0.932
0.284,0.187,0.935
0.291,0.185,0.941
0.304,0.184,0.939
0.312,0.183,0.946
0.331,0.185,0.946
0.339,0.189,0.943
0.345,0.188,0.941
0.349,0.182,0.941
0.351,0.18,0.946
0.355,0.174,0.949
0.351,0.176,0.944
0.337,0.189,0.936
0.329,0.19,0.927
0.314,0.197,0.924
0.307,0.197,0.923
0.301,0.203,0.922
0.296,0.203,0.922
0.296,0.198,0.922
0.294,0.196,0.929
0.295,0.191,0.931
0.292,0.188,0.943
0.302,0.185,0.951
0.306,0.185,0.972
0.318,0.179,0.983
0.326,0.175,1.003
0.324,0.169,1
0.323,0.164,1.002
0.325,0.163,1.002
0.326,0.167,0.995
0.329,0.18,0.992
0.33,0.183,0.985
0.332,0.182,0.979
0.328,0.177,0.961
0.314,0.179,0.951
0.311,0.181,0.931
0.299,0.187,0.923
0.298,0.19,0.914
0.296,0.199,0.91
0.293,0.201,0.906
0.287,0.203,0.907
0.285,0.202,0.919
1.148,-0.233,-0.607
1.203,-0.258,-0.6
1.218,-0.289,-0.598
1.172,-0.304,-0.636
1.134,-0.302,-0.664
1.099,-0.296,-0.736
1.011,-0.283,-0.778
0.951,-0.27,-0.872
0.837,-0.265,-0.912
0.793,-0.26,-0.974
0.635,-0.269,-1.005
0.608,-0.266,-0.985
0.577,-0.245,-0.97
0.566,-0.232,-0.941
0.57,-0.225,-0.903
0.586,-0.205,-0.814
0.668,-0.202,-0.764
0.826,-0.206,-0.637
0.911,-0.211,-0.505
1.053,-0.207,-0.438
1.105,-0.191,-0.352
1.168,-0.193,-0.332
1.18,-0.198,-0.321
1.19,-0.211,-0.332
1.172,-0.244,-0.348
1.147,-0.257,-0.396
1.075,-0.273,-0.427
1.037,-0.273,-0.495
0.966,-0.27,-0.52
0.934,-0.267,-0.545
0.885,-0.263,-0.555
0.86,-0.264,-0.562
0.854,-0.265,-0.562
0.871,-0.266,-0.553
0.886,-0.266,-0.528
0.915,-0.266,-0.514
0.94,-0.287,-0.469
1.008,-0.301,-0.452
1.061,-0.308,-0.45
1.078,-0.306,-0.456
1.092,-0.307,-0.462
1.094,-0.312,-0.467
1.084,-0.315,-0.468
1.067,-0.326,-0.455
1.031,-0.345,-0.448
1.027,-0.385,-0.459
1.022,-0.395,-0.482
0.997,-0.397,-0.496
0.974,-0.396,-0.522
0.915,-0.394,-0.531
0.869,-0.402,-0.539
0.856,-0.41,-0.55
0.849,-0.435,-0.557
0.849,-0.447,-0.582
0.838,-0.447,-0.594
0.84,-0.454,-0.605
0.835,-0.456,-0.739
0.835,-0.462,-0.634
0.842,-0.461,-0.634
0.861,-0.459,-0.631
0.871,-0.461,-0.629
0.891,-0.472,-0.625
0.9,-0.491,-0.607
0.916,-0.494,-0.593
0.925,-0.492,-0.588
0.923,-0.49,-0.59
0.902,-0.49,-0.592
0.897,-0.488,-0.604
0.913,-0.504,-0.61
0.905,-0.514,-0.629
0.889,-0.52,-0.636
0.886,-0.533,-0.643
0.87,-0.541,-0.646
0.856,-0.546,-0.651
0.849,-0.544,-0.66
0.834,-0.54,-0.664
0.826,-0.549,-0.675
0.802,-0.549,-0.68
0.791,-0.54,-0.683
0.779,-0.533,-0.675
0.784,-0.512,-0.668
0.791,-0.501,-0.639
0.811,-0.49,-0.621
0.82,-0.486,-0.578
0.835,-0.487,-0.558
0.843,-0.486,-0.517
0.86,-0.483,-0.486
0.877,-0.484,-0.476
0.89,-0.485,-0.458
0.92,-0.478,-0.452
0.935,-0.463,-0.448
0.965,-0.448,-0.447
0.976,-0.405,-0.457
0.997,-0.386,-0.469
1.01,-0.344,-0.477
1.018,-0.326,-0.496
1.03,-0.293,-0.504
1.034,-0.273,-0.52
1.023,-0.266,-0.531
1.006,-0.264,-0.56
0.994,-0.27,-0.585
0.971,-0.283,-0.596
0.958,-0.29,-0.614
0.921,-0.294,-0.619
0.901,-0.298,-0.621
0.874,-0.301,-0.618
0.868,-0.308,-0.608
0.868,-0.311,-0.591
0.87,-0.306,-0.581
0.866,-0.304,-0.561
0.863,-0.286,-0.551
0.858,-0.271,-0.537
0.848,-0.263,-0.535
0.845,-0.25,-0.534
0.838,-0.239,-0.533
0.836,-0.219,-0.531
0.834,-0.207,-0.526
0.827,-0.183,-0.52
0.824,-0.162,-0.52
0.468,0.381,1.425
0.524,0.394,1.564
0.516,0.379,1.745
0.425,0.349,1.821
0.39,0.338,1.974
0.405,0.299,2.05
0.404,0.239,2.121
0.2,0.271,2.085
0.142,0.242,2.077
0.096,0.252,2.087
0.057,0.273,2.008
-0.048,0.284,1.946
-0.083,0.314,1.84
-0.124,0.346,1.799
-0.13,0.406,1.684
-0.145,0.436,1.616
-0.002,0.508,1.523
-0.05,0.562,1.446
-0.024,0.579,1.383
-0.009,0.553,1.347
0.01,0.541,1.274
0.048,0.502,1.244
0.07,0.477,1.189
0.091,0.5,1.159
0.101,0.525,1.118
0.157,0.56,1.11
0.191,0.578,1.097
0.264,0.62,1.098
0.304,0.652,1.119
0.357,0.703,1.133
0.383,0.718,1.171
0.428,0.738,1.19
0.438,0.747,1.22
0.448,0.716,1.235
0.452,0.688,1.261
0.46,0.639,1.273
0.462,0.617,1.301
0.465,0.574,1.308
0.463,0.541,1.323
0.458,0.529,1.331
0.455,0.505,1.348
0.445,0.488,1.348
0.437,0.453,1.338
0.417,0.43,1.325
0.403,0.362,1.293
0.377,0.331,1.264
0.334,0.331,1.233
0.266,0.314,1.208
0.244,0.279,1.122
0.214,0.269,1.079
0.204,0.257,1.023
0.197,0.261,1.002
0.199,0.27,0.967
0.211,0.273,0.944
0.215,0.278,0.895
0.22,0.282,0.872
0.223,0.284,0.823
0.228,0.286,0.781
0.245,0.291,0.766
0.255,0.29,0.74
0.265,0.279,0.732
0.271,0.268,0.707
0.278,0.247,0.696
0.281,0.24,0.683
0.302,0.223,0.681
0.309,0.218,0.698
0.32,0.216,0.709
0.322,0.215,0.728
0.323,0.212,0.739
0.322,0.212,0.75
0.318,0.206,0.762
0.313,0.207,0.768
0.308,0.206,0.778
0.299,0.209,0.79
0.299,0.224,0.81
0.29,0.23,0.818
0.288,0.266,0.848
0.266,0.337,0.89
0.238,0.523,1.044
0.278,0.601,1.142
0.313,0.546,1.33
0.342,0.478,1.47
0.424,0.324,1.484
0.45,0.233,1.402
0.498,0.103,1.348
0.521,0.1,1.19
0.494,0.204,1.095
0.459,0.286,0.948
0.373,0.448,0.9
0.345,0.498,0.847
0.317,0.523,0.833
0.324,0.5,0.841
0.346,0.422,0.853
0.353,0.381,0.858
0.345,0.304,0.856
0.328,0.268,0.846
0.281,0.214,0.836
0.259,0.2,0.807
0.233,0.186,0.798
0.228,0.182,0.793
0.235,0.187,0.798
0.244,0.196,0.819
0.275,0.224,0.834
0.299,0.369,0.873
0.345,0.285,0.89
0.366,0.303,0.925
0.406,0.326,0.942
0.423,0.337,0.979
0.447,0.337,0.995
0.456,0.329,1.022
0.47,0.323,1.03
0.472,0.303,1.034
0.461,0.292,1.028
0.452,0.281,1.009
0.424,0.276,0.995
0.41,0.269,0.964
0.38,0.27,0.95
0.366,0.273,0.917
0.343,0.279,0.904
0.295,0.611,1.122
0.288,0.576,1.121
0.291,0.566,1.123
0.332,0.555,1.125
0.361,0.568,1.142
0.469,0.705,1.185
0.655,1.497,2.272
1.07,2.917,2.804
1.446,2.863,3.374
1.624,2.032,3.181
1.449,0.482,2.541
0.862,0.058,2.243
0.569,-0.342,1.614
0.116,-0.382,1.246
0.037,-0.322,0.663
0.015,-0.215,0.39
0.041,0.108,0.486
-0.006,0.281,0.676
-0.065,0.53,0.753
-0.131,0.588,0.805
-0.145,0.536,0.759
-0.115,0.488,0.647
0.008,0.402,0.616
0.087,0.382,0.62
0.208,0.378,0.621
0.253,0.386,0.603
0.317,0.398,0.588
0.338,0.417,0.558
0.356,0.447,0.533
0.358,0.448,0.498
0.362,0.449,0.495
0.361,0.444,0.519
0.369,0.422,0.538
0.376,0.405,0.588
0.394,0.363,0.616
0.401,0.35,0.668
0.408,0.33,0.686
0.416,0.322,0.708
0.419,0.307,0.718
0.415,0.299,0.737
0.403,0.281,0.749
0.391,0.274,0.769
0.363,0.273,0.773
0.347,0.276,0.78
0.324,0.281,0.786
0.319,0.284,0.797
0.297,0.296,0.801
0.294,0.303,0.811
0.296,0.315,0.819
0.29,0.317,0.825
0.278,0.323,0.826
0.278,0.323,0.834
0.286,0.324,0.839
0.287,0.326,0.845
0.27,0.352,0.862
0.253,0.407,1
0.222,0.566,1.103
0.222,0.632,1.325
0.367,0.673,1.346
0.3,0.614,1.439
0.306,0.431,1.452
0.345,0.345,1.445
0.375,0.224,1.364
0.425,0.217,1.215
0.442,0.273,1.156
0.439,0.332,1.112
0.418,0.444,1.051
0.358,0.48,1.028
0.332,0.507,0.986
